../data/Mozart1/Mozart1.musi,data
93," [[0.0, 0.0, 0.1, 0.0, 0.1, 0.0, 0.1, 0.1, 0.0, 0.6, 0.0, 0.0], [0.18, 0.0, 0.43, 0.0, 0.07, 0.0, 0.14, 0.0, 0.0, 0.14, 0.0, 0.04]]"
94," [[0.01, 0.0, 0.07, 0.0, 0.06, 0.16, 0.0, 0.59, 0.0, 0.01, 0.0, 0.09]]"
95," [[0.14, 0.0, 0.1, 0.0, 0.3, 0.02, 0.0, 0.39, 0.0, 0.01, 0.0, 0.05], [0.4, 0.0, 0.0, 0.0, 0.1, 0.2, 0.0, 0.3, 0.0, 0.0, 0.0, 0.0]]"
96," [[0.01, 0.0, 0.11, 0.03, 0.05, 0.08, 0.0, 0.45, 0.0, 0.0, 0.0, 0.28]]"
97," [[0.42, 0.0, 0.0, 0.0, 0.26, 0.0, 0.01, 0.31, 0.0, 0.0, 0.0, 0.0], [0.28, 0.0, 0.0, 0.0, 0.22, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.34, 0.0, 0.0, 0.0, 0.0, 0.39, 0.0, 0.0, 0.0, 0.27]]"
98," [[0.39, 0.0, 0.0, 0.0, 0.2, 0.0, 0.02, 0.39, 0.0, 0.0, 0.0, 0.0], [0.28, 0.0, 0.0, 0.0, 0.22, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.34, 0.0, 0.0, 0.0, 0.0, 0.39, 0.0, 0.0, 0.0, 0.27]]"
99," [[0.2, 0.0, 0.02, 0.0, 0.18, 0.0, 0.0, 0.0, 0.0, 0.57, 0.0, 0.02], [0.19, 0.0, 0.03, 0.0, 0.16, 0.0, 0.0, 0.16, 0.0, 0.41, 0.0, 0.06], [0.25, 0.0, 0.39, 0.0, 0.04, 0.0, 0.12, 0.04, 0.0, 0.12, 0.0, 0.04]]"
100," [[0.03, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.53, 0.0, 0.03, 0.0, 0.28], [0.03, 0.0, 0.16, 0.0, 0.0, 0.0, 0.03, 0.41, 0.0, 0.06, 0.0, 0.31], [0.04, 0.0, 0.04, 0.0, 0.41, 0.0, 0.04, 0.12, 0.0, 0.04, 0.0, 0.32]]"
101," [[0.54, 0.0, 0.0, 0.0, 0.21, 0.0, 0.0, 0.0, 0.02, 0.23, 0.0, 0.0], [0.4, 0.0, 0.0, 0.0, 0.3, 0.0, 0.0, 0.0, 0.0, 0.3, 0.0, 0.0], [0.11, 0.0, 0.56, 0.0, 0.0, 0.0, 0.06, 0.06, 0.0, 0.11, 0.0, 0.11]]"
102," [[0.15, 0.0, 0.32, 0.0, 0.02, 0.0, 0.01, 0.15, 0.0, 0.14, 0.0, 0.21]]"
103," [[0.35, 0.0, 0.05, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.3, 0.0, 0.1], [0.17, 0.0, 0.08, 0.0, 0.08, 0.0, 0.0, 0.08, 0.0, 0.42, 0.0, 0.17], [0.33, 0.0, 0.08, 0.0, 0.04, 0.0, 0.21, 0.04, 0.04, 0.12, 0.0, 0.12]]"
104," [[0.04, 0.0, 0.17, 0.0, 0.0, 0.0, 0.0, 0.42, 0.0, 0.08, 0.0, 0.29], [0.08, 0.0, 0.08, 0.0, 0.0, 0.0, 0.08, 0.42, 0.0, 0.17, 0.0, 0.17], [0.04, 0.0, 0.08, 0.0, 0.25, 0.0, 0.12, 0.12, 0.0, 0.0, 0.08, 0.29]]"
105," [[0.5, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0], [0.38, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.38, 0.0, 0.0], [0.06, 0.0, 0.44, 0.0, 0.0, 0.0, 0.1, 0.1, 0.0, 0.15, 0.0, 0.15]]"
106," [[0.06, 0.0, 0.06, 0.0, 0.03, 0.0, 0.0, 0.78, 0.0, 0.03, 0.0, 0.03], [0.19, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.12, 0.0, 0.19, 0.0, 0.25]]"
107," [[0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.4], [0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.25], [0.19, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.12, 0.0, 0.19, 0.0, 0.25]]"
108," [[0.0, 0.0, 0.38, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.38], [0.19, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.12, 0.0, 0.19, 0.0, 0.25]]"
109," [[0.19, 0.0, 0.5, 0.0, 0.06, 0.0, 0.0, 0.0, 0.0, 0.12, 0.0, 0.12], [0.06, 0.0, 0.25, 0.0, 0.0, 0.0, 0.12, 0.12, 0.0, 0.19, 0.0, 0.25]]"
110," [[0.05, 0.0, 0.11, 0.0, 0.11, 0.0, 0.11, 0.37, 0.0, 0.16, 0.0, 0.11], [0.07, 0.0, 0.4, 0.0, 0.0, 0.0, 0.05, 0.2, 0.0, 0.12, 0.0, 0.15]]"
111," [[0.0, 0.0, 0.42, 0.0, 0.0, 0.0, 0.0, 0.27, 0.0, 0.0, 0.0, 0.31], [0.06, 0.0, 0.25, 0.0, 0.0, 0.0, 0.08, 0.29, 0.0, 0.15, 0.0, 0.17]]"
112," [[0.0, 0.0, 0.42, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.33], [0.09, 0.0, 0.25, 0.0, 0.0, 0.0, 0.06, 0.25, 0.0, 0.16, 0.0, 0.19]]"
113," [[0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.4], [0.12, 0.0, 0.38, 0.0, 0.0, 0.0, 0.12, 0.0, 0.0, 0.38, 0.0, 0.0], [0.06, 0.0, 0.31, 0.0, 0.0, 0.0, 0.12, 0.25, 0.0, 0.12, 0.0, 0.12]]"
114," [[0.03, 0.0, 0.19, 0.0, 0.0, 0.0, 0.0, 0.42, 0.0, 0.03, 0.0, 0.33], [0.33, 0.0, 0.02, 0.0, 0.4, 0.0, 0.0, 0.08, 0.0, 0.15, 0.0, 0.02]]"
115," [[0.0, 0.0, 0.58, 0.0, 0.0, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.3], [0.0, 0.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.47], [0.18, 0.0, 0.32, 0.0, 0.0, 0.0, 0.21, 0.0, 0.0, 0.29, 0.0, 0.0]]"
116," [[0.01, 0.0, 0.17, 0.0, 0.01, 0.0, 0.01, 0.2, 0.0, 0.01, 0.0, 0.58], [0.62, 0.0, 0.01, 0.0, 0.14, 0.0, 0.01, 0.18, 0.0, 0.01, 0.0, 0.01]]"
117," [[0.0, 0.0, 0.56, 0.0, 0.0, 0.0, 0.1, 0.11, 0.0, 0.0, 0.0, 0.23], [0.0, 0.0, 0.47, 0.0, 0.0, 0.0, 0.0, 0.26, 0.0, 0.0, 0.0, 0.26], [0.0, 0.0, 0.57, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.02, 0.0, 0.21]]"
118," [[0.02, 0.0, 0.48, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.3, 0.0, 0.0], [0.04, 0.0, 0.61, 0.0, 0.0, 0.0, 0.18, 0.0, 0.0, 0.18, 0.0, 0.0], [0.18, 0.0, 0.61, 0.0, 0.0, 0.0, 0.11, 0.0, 0.0, 0.11, 0.0, 0.0]]"
119," [[0.0, 0.0, 0.13, 0.0, 0.03, 0.0, 0.0, 0.74, 0.0, 0.0, 0.0, 0.1], [0.12, 0.0, 0.12, 0.0, 0.12, 0.0, 0.12, 0.5, 0.0, 0.0, 0.0, 0.0]]"
120," [[0.0, 0.0, 0.17, 0.0, 0.0, 0.0, 0.0, 0.67, 0.0, 0.0, 0.0, 0.17], [0.17, 0.0, 0.17, 0.0, 0.0, 0.0, 0.0, 0.33, 0.0, 0.17, 0.0, 0.17], [0.06, 0.0, 0.05, 0.0, 0.03, 0.0, 0.0, 0.62, 0.0, 0.06, 0.0, 0.18]]"
121," [[0.29, 0.0, 0.0, 0.0, 0.36, 0.0, 0.0, 0.36, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.29, 0.0, 0.0, 0.57, 0.0, 0.0, 0.0, 0.14], [0.07, 0.0, 0.13, 0.0, 0.07, 0.0, 0.13, 0.53, 0.0, 0.07, 0.0, 0.0]]"
122," [[0.0, 0.0, 0.27, 0.0, 0.0, 0.0, 0.0, 0.45, 0.0, 0.0, 0.0, 0.27], [0.17, 0.0, 0.17, 0.0, 0.0, 0.0, 0.0, 0.33, 0.0, 0.17, 0.0, 0.17], [0.0, 0.03, 0.13, 0.0, 0.0, 0.0, 0.06, 0.57, 0.0, 0.06, 0.0, 0.15]]"
123," [[0.18, 0.0, 0.44, 0.0, 0.0, 0.0, 0.16, 0.0, 0.0, 0.22, 0.0, 0.0], [0.14, 0.0, 0.39, 0.0, 0.0, 0.0, 0.3, 0.0, 0.0, 0.16, 0.0, 0.0]]"
124," [[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.35], [0.0, 0.0, 0.57, 0.0, 0.0, 0.0, 0.0, 0.29, 0.0, 0.0, 0.0, 0.14], [0.0, 0.0, 0.39, 0.0, 0.0, 0.0, 0.0, 0.16, 0.0, 0.0, 0.0, 0.45]]"
125," [[0.41, 0.0, 0.06, 0.0, 0.29, 0.0, 0.0, 0.0, 0.0, 0.24, 0.0, 0.0], [0.54, 0.0, 0.07, 0.0, 0.07, 0.0, 0.05, 0.0, 0.0, 0.15, 0.0, 0.12], [0.02, 0.0, 0.49, 0.0, 0.02, 0.0, 0.12, 0.11, 0.0, 0.13, 0.0, 0.12]]"
126," [[0.03, 0.0, 0.21, 0.0, 0.0, 0.0, 0.0, 0.41, 0.0, 0.03, 0.0, 0.32], [0.0, 0.0, 0.25, 0.0, 0.05, 0.0, 0.05, 0.25, 0.0, 0.0, 0.0, 0.4], [0.52, 0.0, 0.0, 0.0, 0.41, 0.0, 0.0, 0.07, 0.0, 0.0, 0.0, 0.0]]"
127," [[0.0, 0.0, 0.81, 0.0, 0.0, 0.0, 0.04, 0.0, 0.0, 0.0, 0.0, 0.15], [0.14, 0.0, 0.39, 0.0, 0.09, 0.0, 0.03, 0.1, 0.0, 0.08, 0.0, 0.17]]"
128," [[0.06, 0.0, 0.52, 0.0, 0.01, 0.0, 0.06, 0.06, 0.0, 0.06, 0.0, 0.24], [0.05, 0.0, 0.46, 0.0, 0.05, 0.0, 0.0, 0.2, 0.0, 0.05, 0.0, 0.2], [0.0, 0.0, 0.48, 0.0, 0.0, 0.0, 0.15, 0.11, 0.0, 0.15, 0.0, 0.11]]"
129," [[0.0, 0.0, 0.12, 0.0, 0.15, 0.0, 0.15, 0.53, 0.0, 0.0, 0.0, 0.06]]"
130," [[0.24, 0.0, 0.24, 0.29, 0.24, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
131," [[0.24, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.24, 0.0, 0.52]]"
132," [[0.0, 0.0, 0.0, 0.0, 0.28, 0.02, 0.0, 0.0, 0.57, 0.0, 0.0, 0.13], [0.0, 0.0, 0.09, 0.0, 0.09, 0.0, 0.0, 0.0, 0.45, 0.0, 0.0, 0.36]]"
133," [[0.23, 0.0, 0.0, 0.0, 0.23, 0.0, 0.0, 0.0, 0.0, 0.54, 0.0, 0.0], [0.5, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0], [0.09, 0.0, 0.0, 0.0, 0.45, 0.0, 0.0, 0.0, 0.0, 0.45, 0.0, 0.0]]"
134," [[0.0, 0.0, 0.22, 0.0, 0.29, 0.0, 0.0, 0.0, 0.22, 0.0, 0.0, 0.27], [0.0, 0.0, 0.0, 0.09, 0.27, 0.0, 0.0, 0.0, 0.18, 0.0, 0.0, 0.45]]"
135," [[0.37, 0.0, 0.0, 0.0, 0.29, 0.0, 0.0, 0.0, 0.0, 0.34, 0.0, 0.0], [0.55, 0.0, 0.0, 0.0, 0.09, 0.0, 0.0, 0.0, 0.09, 0.27, 0.0, 0.0]]"
136," [[0.0, 0.0, 0.37, 0.0, 0.03, 0.12, 0.0, 0.01, 0.06, 0.12, 0.0, 0.29], [0.14, 0.0, 0.0, 0.0, 0.57, 0.0, 0.0, 0.0, 0.07, 0.07, 0.0, 0.14]]"
137," [[0.25, 0.0, 0.0, 0.0, 0.3, 0.0, 0.0, 0.0, 0.0, 0.45, 0.0, 0.0], [0.0, 0.0, 0.21, 0.0, 0.29, 0.0, 0.0, 0.0, 0.14, 0.0, 0.0, 0.36], [0.5, 0.0, 0.0, 0.0, 0.31, 0.0, 0.0, 0.0, 0.0, 0.16, 0.0, 0.03]]"
138," [[0.0, 0.0, 0.56, 0.0, 0.0, 0.22, 0.0, 0.0, 0.17, 0.06, 0.0, 0.0], [0.0, 0.0, 0.39, 0.0, 0.06, 0.44, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11], [0.14, 0.0, 0.14, 0.0, 0.43, 0.0, 0.0, 0.0, 0.07, 0.07, 0.0, 0.14]]"
139," [[0.3, 0.0, 0.0, 0.0, 0.04, 0.0, 0.0, 0.0, 0.0, 0.46, 0.0, 0.2]]"
140," [[0.0, 0.0, 0.0, 0.0, 0.0, 0.24, 0.0, 0.24, 0.27, 0.24, 0.0, 0.0]]"
141," [[0.0, 0.0, 0.23, 0.0, 0.53, 0.23, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
142," [[0.0, 0.68, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.21, 0.02, 0.0], [0.0, 0.45, 0.0, 0.0, 0.36, 0.0, 0.0, 0.09, 0.0, 0.09, 0.0, 0.0]]"
143," [[0.0, 0.0, 0.41, 0.0, 0.0, 0.21, 0.0, 0.0, 0.09, 0.29, 0.0, 0.0], [0.0, 0.0, 0.5, 0.0, 0.05, 0.18, 0.0, 0.0, 0.09, 0.18, 0.0, 0.0]]"
144," [[0.0, 0.3, 0.02, 0.0, 0.35, 0.0, 0.0, 0.16, 0.0, 0.0, 0.16, 0.0], [0.0, 0.16, 0.0, 0.0, 0.32, 0.0, 0.0, 0.21, 0.0, 0.16, 0.16, 0.0]]"
145," [[0.0, 0.04, 0.27, 0.0, 0.01, 0.48, 0.0, 0.01, 0.0, 0.18, 0.0, 0.01], [0.0, 0.0, 0.5, 0.0, 0.0, 0.42, 0.0, 0.0, 0.0, 0.08, 0.0, 0.0]]"
146," [[0.0, 0.1, 0.1, 0.0, 0.2, 0.0, 0.0, 0.3, 0.0, 0.0, 0.3, 0.0], [0.0, 0.0, 0.1, 0.0, 0.15, 0.05, 0.0, 0.5, 0.0, 0.0, 0.2, 0.0], [0.0, 0.07, 0.07, 0.0, 0.07, 0.07, 0.0, 0.07, 0.0, 0.64, 0.0, 0.0]]"
147," [[0.0, 0.0, 0.45, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.3, 0.0, 0.0], [0.0, 0.14, 0.0, 0.0, 0.36, 0.0, 0.0, 0.21, 0.0, 0.29, 0.0, 0.0], [0.0, 0.0, 0.16, 0.0, 0.03, 0.38, 0.0, 0.0, 0.0, 0.44, 0.0, 0.0]]"
148," [[0.0, 0.0, 0.21, 0.0, 0.0, 0.0, 0.0, 0.19, 0.0, 0.03, 0.57, 0.0], [0.0, 0.07, 0.07, 0.0, 0.07, 0.21, 0.0, 0.0, 0.0, 0.57, 0.0, 0.0]]"
149," [[0.0, 0.0, 0.64, 0.0, 0.0, 0.11, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0], [0.0, 0.0, 0.12, 0.0, 0.0, 0.75, 0.0, 0.0, 0.0, 0.12, 0.0, 0.0], [0.0, 0.0, 0.42, 0.0, 0.08, 0.42, 0.0, 0.0, 0.0, 0.08, 0.0, 0.0]]"
150," [[0.0, 0.21, 0.21, 0.0, 0.21, 0.08, 0.0, 0.21, 0.0, 0.0, 0.08, 0.0]]"
151," [[0.39, 0.0, 0.0, 0.0, 0.17, 0.0, 0.0, 0.22, 0.0, 0.0, 0.22, 0.0], [0.12, 0.0, 0.0, 0.0, 0.06, 0.06, 0.0, 0.31, 0.0, 0.12, 0.31, 0.0]]"
152," [[0.04, 0.0, 0.0, 0.0, 0.0, 0.81, 0.0, 0.0, 0.0, 0.15, 0.0, 0.0], [0.12, 0.0, 0.0, 0.0, 0.0, 0.12, 0.0, 0.0, 0.0, 0.75, 0.0, 0.0], [0.12, 0.0, 0.0, 0.0, 0.0, 0.12, 0.0, 0.0, 0.12, 0.62, 0.0, 0.0]]"
153," [[0.1, 0.0, 0.03, 0.0, 0.0, 0.62, 0.0, 0.0, 0.2, 0.0, 0.0, 0.05], [0.0, 0.0, 0.12, 0.0, 0.0, 0.12, 0.0, 0.0, 0.5, 0.0, 0.0, 0.25], [0.0, 0.0, 0.12, 0.0, 0.0, 0.12, 0.0, 0.0, 0.12, 0.25, 0.0, 0.38]]"
154," [[0.0, 0.0, 0.12, 0.0, 0.66, 0.0, 0.0, 0.0, 0.09, 0.0, 0.0, 0.12], [0.0, 0.12, 0.31, 0.0, 0.12, 0.0, 0.0, 0.0, 0.06, 0.06, 0.0, 0.31]]"
155," [[0.14, 0.0, 0.0, 0.0, 0.04, 0.0, 0.0, 0.0, 0.0, 0.82, 0.0, 0.0], [0.75, 0.0, 0.0, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.12, 0.0, 0.0], [0.42, 0.0, 0.0, 0.0, 0.08, 0.0, 0.0, 0.0, 0.0, 0.42, 0.0, 0.08]]"
156," [[0.0, 0.0, 0.17, 0.0, 0.0, 0.08, 0.0, 0.0, 0.0, 0.42, 0.0, 0.33], [0.0, 0.0, 0.25, 0.0, 0.0, 0.12, 0.0, 0.0, 0.0, 0.12, 0.0, 0.5], [0.17, 0.0, 0.25, 0.0, 0.0, 0.08, 0.0, 0.0, 0.42, 0.0, 0.0, 0.08]]"
157," [[0.0, 0.0, 0.22, 0.0, 0.0, 0.22, 0.0, 0.39, 0.0, 0.0, 0.0, 0.17], [0.06, 0.0, 0.31, 0.0, 0.12, 0.31, 0.0, 0.12, 0.0, 0.0, 0.0, 0.06]]"
158," [[0.2, 0.0, 0.0, 0.23, 0.0, 0.0, 0.0, 0.57, 0.0, 0.0, 0.0, 0.0], [0.25, 0.0, 0.0, 0.31, 0.0, 0.0, 0.0, 0.44, 0.0, 0.0, 0.0, 0.0], [0.29, 0.0, 0.04, 0.29, 0.0, 0.04, 0.08, 0.25, 0.0, 0.0, 0.0, 0.0]]"
159," [[0.0, 0.0, 0.23, 0.0, 0.0, 0.15, 0.0, 0.42, 0.0, 0.0, 0.0, 0.19], [0.06, 0.0, 0.31, 0.0, 0.12, 0.31, 0.0, 0.12, 0.0, 0.0, 0.0, 0.06]]"
160," [[0.2, 0.0, 0.0, 0.23, 0.0, 0.0, 0.0, 0.57, 0.0, 0.0, 0.0, 0.0], [0.25, 0.0, 0.0, 0.31, 0.0, 0.0, 0.0, 0.44, 0.0, 0.0, 0.0, 0.0], [0.29, 0.0, 0.04, 0.29, 0.0, 0.04, 0.08, 0.25, 0.0, 0.0, 0.0, 0.0]]"
161," [[0.0, 0.0, 0.21, 0.0, 0.0, 0.0, 0.03, 0.41, 0.0, 0.0, 0.0, 0.36], [0.25, 0.0, 0.25, 0.0, 0.0, 0.0, 0.12, 0.25, 0.12, 0.0, 0.0, 0.0], [0.12, 0.0, 0.12, 0.25, 0.12, 0.19, 0.12, 0.0, 0.0, 0.0, 0.0, 0.06]]"
162," [[0.11, 0.0, 0.11, 0.0, 0.0, 0.0, 0.11, 0.44, 0.06, 0.0, 0.0, 0.17], [0.12, 0.0, 0.12, 0.25, 0.12, 0.19, 0.12, 0.0, 0.0, 0.0, 0.0, 0.06]]"
163," [[0.21, 0.0, 0.0, 0.06, 0.0, 0.0, 0.4, 0.23, 0.0, 0.02, 0.0, 0.08]]"
164," [[0.0, 0.0, 0.12, 0.0, 0.0, 0.0, 0.12, 0.62, 0.0, 0.0, 0.0, 0.12], [0.34, 0.0, 0.0, 0.09, 0.0, 0.0, 0.53, 0.0, 0.0, 0.03, 0.0, 0.0]]"
165," [[0.0, 0.0, 0.24, 0.0, 0.0, 0.0, 0.0, 0.62, 0.0, 0.0, 0.0, 0.14], [0.0, 0.0, 0.33, 0.0, 0.0, 0.0, 0.0, 0.33, 0.0, 0.0, 0.0, 0.33], [0.21, 0.0, 0.0, 0.0, 0.36, 0.0, 0.0, 0.43, 0.0, 0.0, 0.0, 0.0]]"
166," [[0.0, 0.0, 0.1, 0.0, 0.08, 0.15, 0.0, 0.64, 0.0, 0.03, 0.0, 0.0]]"
167," [[0.05, 0.0, 0.0, 0.0, 0.0, 0.19, 0.0, 0.48, 0.0, 0.29, 0.0, 0.0], [0.0, 0.0, 0.18, 0.0, 0.0, 0.18, 0.0, 0.35, 0.0, 0.0, 0.0, 0.29]]"
168," [[0.6, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0], [0.39, 0.0, 0.0, 0.0, 0.09, 0.0, 0.0, 0.52, 0.0, 0.0, 0.0, 0.0], [0.25, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0]]"
169," [[0.5, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0]]"
170," [[0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2]]"
171," [[0.0, 0.23, 0.77, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
172," [[0.0, 0.0, 0.0, 0.21, 0.79, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
173," [[0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.25, 0.0, 0.25, 0.0, 0.25]]"
174," [[0.79, 0.0, 0.0, 0.0, 0.04, 0.0, 0.0, 0.17, 0.0, 0.0, 0.0, 0.0], [0.17, 0.0, 0.17, 0.0, 0.06, 0.06, 0.0, 0.33, 0.0, 0.0, 0.0, 0.22]]"
175," [[0.0, 0.0, 0.33, 0.0, 0.0, 0.0, 0.0, 0.33, 0.0, 0.0, 0.0, 0.33], [0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.33, 0.0, 0.0, 0.0, 0.17], [0.0, 0.25, 0.25, 0.0, 0.0, 0.0, 0.0, 0.33, 0.0, 0.0, 0.08, 0.08]]"
176," [[0.29, 0.0, 0.0, 0.0, 0.43, 0.0, 0.0, 0.29, 0.0, 0.0, 0.0, 0.0], [0.17, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.33, 0.0, 0.0, 0.0, 0.0], [0.08, 0.0, 0.0, 0.25, 0.25, 0.0, 0.0, 0.33, 0.0, 0.0, 0.0, 0.08]]"
177," [[0.08, 0.0, 0.0, 0.0, 0.0, 0.67, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0], [0.25, 0.0, 0.0, 0.0, 0.08, 0.0, 0.0, 0.5, 0.0, 0.17, 0.0, 0.0], [0.04, 0.0, 0.12, 0.0, 0.0, 0.08, 0.0, 0.08, 0.0, 0.33, 0.0, 0.33]]"
178," [[0.75, 0.0, 0.0, 0.0, 0.12, 0.0, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0], [0.5, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0], [0.38, 0.0, 0.12, 0.0, 0.25, 0.0, 0.0, 0.12, 0.0, 0.0, 0.0, 0.12]]"
179," [[0.03, 0.0, 0.14, 0.0, 0.0, 0.08, 0.0, 0.42, 0.0, 0.11, 0.0, 0.22], [0.19, 0.0, 0.25, 0.0, 0.25, 0.06, 0.0, 0.06, 0.0, 0.0, 0.0, 0.19]]"
180," [[0.75, 0.0, 0.0, 0.0, 0.12, 0.0, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0], [0.5, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0], [0.38, 0.0, 0.12, 0.0, 0.25, 0.0, 0.0, 0.12, 0.0, 0.0, 0.0, 0.12]]"
181," [[0.11, 0.0, 0.22, 0.0, 0.03, 0.14, 0.0, 0.22, 0.0, 0.19, 0.0, 0.08], [0.0, 0.0, 0.19, 0.0, 0.19, 0.25, 0.0, 0.25, 0.0, 0.06, 0.0, 0.06]]"
182," [[0.5, 0.0, 0.07, 0.0, 0.18, 0.0, 0.0, 0.04, 0.0, 0.0, 0.0, 0.21], [0.16, 0.0, 0.0, 0.0, 0.03, 0.0, 0.0, 0.19, 0.0, 0.56, 0.0, 0.06]]"
183," [[0.03, 0.0, 0.0, 0.0, 0.19, 0.56, 0.0, 0.06, 0.0, 0.16, 0.0, 0.0], [0.23, 0.0, 0.31, 0.0, 0.08, 0.08, 0.0, 0.0, 0.0, 0.15, 0.0, 0.15]]"
184," [[0.04, 0.0, 0.04, 0.0, 0.0, 0.0, 0.0, 0.62, 0.0, 0.12, 0.0, 0.17], [0.19, 0.0, 0.19, 0.0, 0.25, 0.06, 0.19, 0.06, 0.0, 0.06, 0.0, 0.0]]"
185," [[0.02, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0, 0.27, 0.0, 0.29], [0.23, 0.0, 0.23, 0.0, 0.25, 0.02, 0.23, 0.02, 0.0, 0.02, 0.0, 0.0]]"
186," [[0.0, 0.0, 0.13, 0.0, 0.0, 0.0, 0.02, 0.72, 0.0, 0.0, 0.0, 0.13]]"
187," [[0.0, 0.0, 0.27, 0.0, 0.0, 0.0, 0.01, 0.44, 0.0, 0.0, 0.0, 0.27]]"
188," [[0.0, 0.0, 0.03, 0.0, 0.12, 0.05, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0]]"
189," [[0.25, 0.0, 0.0, 0.0, 0.21, 0.0, 0.0, 0.29, 0.0, 0.25, 0.0, 0.0], [0.25, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0], [0.25, 0.0, 0.06, 0.0, 0.31, 0.0, 0.0, 0.38, 0.0, 0.0, 0.0, 0.0]]"
190," [[0.33, 0.0, 0.0, 0.0, 0.0, 0.08, 0.0, 0.0, 0.0, 0.58, 0.0, 0.0], [0.25, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0], [0.25, 0.0, 0.0, 0.0, 0.0, 0.19, 0.0, 0.0, 0.0, 0.38, 0.0, 0.19]]"
191," [[0.33, 0.0, 0.0, 0.0, 0.11, 0.0, 0.0, 0.56, 0.0, 0.0, 0.0, 0.0], [0.56, 0.0, 0.0, 0.0, 0.11, 0.0, 0.0, 0.0, 0.0, 0.33, 0.0, 0.0], [0.06, 0.0, 0.44, 0.0, 0.06, 0.17, 0.0, 0.17, 0.0, 0.06, 0.0, 0.06]]"
