../data/Mozart1/Mozart1.musi,data
40," [[0.26, 0.0, 0.0, 0.0, 0.43, 0.0, 0.0, 0.25, 0.0, 0.01, 0.0, 0.05], [0.28, 0.0, 0.0, 0.0, 0.41, 0.0, 0.0, 0.26, 0.0, 0.02, 0.0, 0.04]]"
41," [[0.49, 0.0, 0.0, 0.0, 0.11, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.2]]"
42," [[0.0, 0.0, 0.21, 0.0, 0.21, 0.21, 0.0, 0.36, 0.0, 0.0, 0.0, 0.0]]"
43," [[0.57, 0.0, 0.0, 0.0, 0.21, 0.0, 0.0, 0.21, 0.0, 0.0, 0.0, 0.0]]"
44," [[0.5, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0]]"
45," [[0.78, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.22]]"
46," [[0.0, 0.23, 0.77, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
47," [[0.0, 0.0, 0.0, 0.23, 0.77, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
48," [[0.0, 0.0, 0.0, 0.0, 0.0, 0.23, 0.0, 0.26, 0.0, 0.26, 0.0, 0.26]]"
49," [[0.94, 0.0, 0.0, 0.0, 0.03, 0.0, 0.0, 0.03, 0.0, 0.0, 0.0, 0.0], [0.5, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0], [0.38, 0.0, 0.12, 0.0, 0.25, 0.0, 0.0, 0.12, 0.0, 0.0, 0.0, 0.12]]"
50," [[0.03, 0.0, 0.14, 0.0, 0.0, 0.08, 0.0, 0.42, 0.0, 0.11, 0.0, 0.22], [0.19, 0.0, 0.25, 0.0, 0.25, 0.06, 0.0, 0.06, 0.0, 0.0, 0.0, 0.19]]"
51," [[0.75, 0.0, 0.0, 0.0, 0.12, 0.0, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0], [0.5, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0], [0.38, 0.0, 0.12, 0.0, 0.25, 0.0, 0.0, 0.12, 0.0, 0.0, 0.0, 0.12]]"
52," [[0.03, 0.0, 0.14, 0.0, 0.0, 0.08, 0.0, 0.42, 0.0, 0.11, 0.0, 0.22], [0.19, 0.0, 0.25, 0.0, 0.25, 0.06, 0.0, 0.06, 0.0, 0.0, 0.0, 0.19]]"
53," [[0.79, 0.0, 0.04, 0.0, 0.11, 0.0, 0.0, 0.07, 0.0, 0.0, 0.0, 0.0], [0.4, 0.0, 0.0, 0.0, 0.2, 0.05, 0.0, 0.25, 0.0, 0.05, 0.0, 0.05], [0.47, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.23, 0.0, 0.03, 0.0, 0.07]]"
54," [[0.53, 0.0, 0.03, 0.0, 0.16, 0.06, 0.0, 0.0, 0.0, 0.22, 0.0, 0.0], [0.4, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.05, 0.0, 0.25, 0.0, 0.05], [0.5, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.23, 0.0, 0.07]]"
55," [[0.65, 0.0, 0.05, 0.0, 0.15, 0.0, 0.0, 0.15, 0.0, 0.0, 0.0, 0.0], [0.4, 0.0, 0.0, 0.0, 0.2, 0.05, 0.0, 0.25, 0.0, 0.05, 0.0, 0.05], [0.45, 0.0, 0.05, 0.0, 0.23, 0.0, 0.0, 0.23, 0.0, 0.03, 0.0, 0.03]]"
56," [[0.12, 0.0, 0.03, 0.0, 0.15, 0.35, 0.0, 0.04, 0.0, 0.31, 0.0, 0.0], [0.04, 0.0, 0.14, 0.0, 0.14, 0.04, 0.0, 0.61, 0.0, 0.0, 0.0, 0.04]]"
57," [[0.62, 0.0, 0.03, 0.0, 0.03, 0.0, 0.0, 0.31, 0.0, 0.0, 0.0, 0.0], [0.17, 0.0, 0.0, 0.0, 0.17, 0.08, 0.0, 0.42, 0.0, 0.08, 0.0, 0.08], [0.29, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.29, 0.0, 0.04, 0.0, 0.12]]"
58," [[0.57, 0.0, 0.03, 0.0, 0.03, 0.15, 0.0, 0.0, 0.0, 0.23, 0.0, 0.0], [0.17, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.08, 0.0, 0.42, 0.0, 0.08], [0.33, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.29, 0.0, 0.12]]"
