C,,
V+,"['G', 'B', 'D']","['G', 'B', 'D', 'F']"
VI,"['Ab', 'C', 'Eb']","['Ab', 'C', 'Eb', 'G']"
GVI,"['Ab', 'C', 'Eb', 'F#']",
FVI,"['Ab', 'C', 'D', 'F#']",
ItVI,"['Ab', 'C', 'F#']",
VII,"['Bb', 'D', 'F']","['Bb', 'D', 'F', 'Ab']"
DVII,,"['B', 'D', 'F', 'Ab']"
d,,
I,"['D', 'F', 'A']","['D', 'F', 'A', 'C']"
I+,"['D', 'F#', 'A']",
bII,"['Eb', 'G', 'Bb']",
II,"['E', 'G', 'Bb']","['E', 'G', 'Bb', 'D']"
III,"['F', 'A', 'C']","['F', 'A', 'C', 'E']"
IV,"['G', 'Bb', 'D']","['G', 'Bb', 'D', 'F']"
IV+,"['G', 'B', 'D']",
V,"['A', 'C', 'E']","['A', 'C', 'E', 'G']"
V+,"['A', 'C#', 'E']","['A', 'C#', 'E', 'G']"
VI,"['Bb', 'D', 'F']","['Bb', 'D', 'F', 'A']"
GVI,"['Bb', 'D', 'F', 'G#']",
FVI,"['Bb', 'D', 'E', 'G#']",
ItVI,"['Bb', 'D', 'G#']",
VII,"['C', 'E', 'G']","['C', 'E', 'G', 'Bb']"
DVII,,"['C#', 'E', 'G', 'Bb']"
e,,
I,"['E', 'G', 'B']","['E', 'G', 'B', 'D']"
I+,"['E', 'G#', 'B']",
bII,"['F', 'A', 'C']",
II,"['F#', 'A', 'C']","['F#', 'A', 'C', 'E']"
III,"['G', 'B', 'D']","['G', 'B', 'D', 'F#']"
IV,"['A', 'C', 'E']","['A', 'C', 'E', 'G']"
IV+,"['A', 'C#', 'E']",
V,"['B', 'D', 'F#']","['B', 'D', 'F#', 'A']"
V+,"['B', 'D#', 'F#']","['B', 'D#', 'F#', 'A']"
VI,"['C', 'E', 'G']","['C', 'E', 'G', 'B']"
GVI,"['C', 'E', 'G', 'A#']",
FVI,"['C', 'E', 'F#', 'A#']",
ItVI,"['C', 'E', 'A#']",
VII,"['D', 'F#', 'A']","['D', 'F#', 'A', 'C']"
DVII,,"['D#', 'F#', 'A', 'C']"
f,,
I,"['F', 'Ab', 'C']","['F', 'Ab', 'C', 'Eb']"
I+,"['F', 'A', 'C']",
bII,"['Gb', 'Bb', 'Db']",
II,"['G', 'Bb', 'Db']","['G', 'Bb', 'Db', 'F']"
III,"['Ab', 'C', 'Eb']","['Ab', 'C', 'Eb', 'G']"
IV,"['Bb', 'Db', 'F']","['Bb', 'Db', 'F', 'Ab']"
IV+,"['Bb', 'D', 'F']",
V,"['C', 'Eb', 'G']","['C', 'Eb', 'G', 'Bb']"
V+,"['C', 'E', 'G']","['C', 'E', 'G', 'Bb']"
VI,"['Db', 'F', 'Ab']","['Db', 'F', 'Ab', 'C']"
GVI,"['Db', 'F', 'Ab', 'B']",
FVI,"['Db', 'F', 'G', 'B']",
ItVI,"['Db', 'F', 'B']",
VII,"['Eb', 'G', 'Bb']","['Eb', 'G', 'Bb', 'Db']"
DVII,,"['E', 'G', 'Bb', 'Db']"
g,,
I,"['G', 'Bb', 'D']","['G', 'Bb', 'D', 'F']"
I+,"['G', 'B', 'D']",
bII,"['Ab', 'C', 'Eb']",
II,"['A', 'C', 'Eb']","['A', 'C', 'Eb', 'G']"
III,"['Bb', 'D', 'F']","['Bb', 'D', 'F', 'A']"
IV,"['C', 'Eb', 'G']","['C', 'Eb', 'G', 'Bb']"
IV+,"['C', 'E', 'G']",
