../data/Mozart2/Mozart;data;Chord;;;
23; [[0.25, 0.0, 0.0, 0.0, 0.33, 0.0, 0.0, 0.42, 0.0, 0.0, 0.0, 0.0], [0.25, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0], [0.19, 0.0, 0.06, 0.0, 0.31, 0.06, 0.0, 0.38, 0.0, 0.0, 0.0, 0.0]];V7;;;
24; [[0.0, 0.0, 0.5, 0.0, 0.17, 0.17, 0.0, 0.08, 0.0, 0.0, 0.0, 0.08], [0.0, 0.0, 0.25, 0.0, 0.25, 0.25, 0.0, 0.12, 0.0, 0.0, 0.0, 0.12], [0.03, 0.0, 0.25, 0.0, 0.22, 0.25, 0.0, 0.12, 0.0, 0.0, 0.0, 0.12]];I;V7;;
25; [[0.62, 0.0, 0.0, 0.0, 0.31, 0.0, 0.0, 0.06, 0.0, 0.0, 0.0, 0.0], [0.05, 0.0, 0.3, 0.0, 0.1, 0.25, 0.0, 0.25, 0.0, 0.0, 0.0, 0.05]];I;V7;;
26; [[0.62, 0.0, 0.0, 0.0, 0.31, 0.0, 0.0, 0.06, 0.0, 0.0, 0.0, 0.0], [0.05, 0.0, 0.3, 0.0, 0.1, 0.25, 0.0, 0.25, 0.0, 0.0, 0.0, 0.05]];I;;;
27; [[0.64, 0.0, 0.0, 0.0, 0.27, 0.0, 0.0, 0.09, 0.0, 0.0, 0.0, 0.0]];I;;;
28; [[0.88, 0.0, 0.0, 0.06, 0.0, 0.0, 0.0, 0.06, 0.0, 0.0, 0.0, 0.0], [0.05, 0.0, 0.3, 0.1, 0.0, 0.25, 0.0, 0.25, 0.0, 0.0, 0.0, 0.05]];I;V7;;
29; [[0.62, 0.0, 0.0, 0.31, 0.0, 0.0, 0.0, 0.06, 0.0, 0.0, 0.0, 0.0], [0.05, 0.0, 0.3, 0.1, 0.0, 0.25, 0.0, 0.25, 0.0, 0.0, 0.0, 0.05]];I;V7;;
30; [[0.45, 0.0, 0.09, 0.09, 0.0, 0.09, 0.0, 0.09, 0.0, 0.09, 0.0, 0.09], [0.55, 0.0, 0.09, 0.09, 0.0, 0.0, 0.0, 0.09, 0.0, 0.09, 0.09, 0.0]];I;I;;
31; [[0.09, 0.0, 0.09, 0.0, 0.09, 0.0, 0.09, 0.09, 0.0, 0.09, 0.0, 0.45], [0.09, 0.0, 0.09, 0.0, 0.0, 0.09, 0.0, 0.45, 0.09, 0.0, 0.0, 0.18]];V;;;
32; [[0.62, 0.0, 0.0, 0.31, 0.0, 0.0, 0.0, 0.06, 0.0, 0.0, 0.0, 0.0], [0.05, 0.0, 0.3, 0.1, 0.0, 0.25, 0.0, 0.25, 0.0, 0.0, 0.0, 0.05]];I;V7;;
