../data/Mozart2/Mozart,data
23," [[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.33, 0.0, 0.0, 0.42, 0.0, 0.0], [0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.25, 0.0, 0.0], [0.0, 0.0, 0.19, 0.0, 0.06, 0.0, 0.31, 0.06, 0.0, 0.38, 0.0, 0.0]]"
24," [[0.0, 0.08, 0.0, 0.0, 0.5, 0.0, 0.17, 0.17, 0.0, 0.08, 0.0, 0.0], [0.0, 0.12, 0.0, 0.0, 0.25, 0.0, 0.25, 0.25, 0.0, 0.12, 0.0, 0.0], [0.0, 0.12, 0.03, 0.0, 0.25, 0.0, 0.22, 0.25, 0.0, 0.12, 0.0, 0.0]]"
25," [[0.0, 0.0, 0.62, 0.0, 0.0, 0.0, 0.31, 0.0, 0.0, 0.06, 0.0, 0.0], [0.0, 0.05, 0.05, 0.0, 0.3, 0.0, 0.1, 0.25, 0.0, 0.25, 0.0, 0.0]]"
26," [[0.0, 0.0, 0.62, 0.0, 0.0, 0.0, 0.31, 0.0, 0.0, 0.06, 0.0, 0.0], [0.0, 0.05, 0.05, 0.0, 0.3, 0.0, 0.1, 0.25, 0.0, 0.25, 0.0, 0.0]]"
27," [[0.0, 0.0, 0.64, 0.0, 0.0, 0.0, 0.27, 0.0, 0.0, 0.09, 0.0, 0.0]]"
28," [[0.0, 0.0, 0.88, 0.0, 0.0, 0.06, 0.0, 0.0, 0.0, 0.06, 0.0, 0.0], [0.0, 0.05, 0.05, 0.0, 0.3, 0.1, 0.0, 0.25, 0.0, 0.25, 0.0, 0.0]]"
29," [[0.0, 0.0, 0.62, 0.0, 0.0, 0.31, 0.0, 0.0, 0.0, 0.06, 0.0, 0.0], [0.0, 0.05, 0.05, 0.0, 0.3, 0.1, 0.0, 0.25, 0.0, 0.25, 0.0, 0.0]]"
30," [[0.0, 0.09, 0.45, 0.0, 0.09, 0.09, 0.0, 0.09, 0.0, 0.09, 0.0, 0.09], [0.09, 0.0, 0.55, 0.0, 0.09, 0.09, 0.0, 0.0, 0.0, 0.09, 0.0, 0.09]]"
31," [[0.0, 0.09, 0.0, 0.09, 0.09, 0.0, 0.09, 0.0, 0.45, 0.09, 0.0, 0.09], [0.0, 0.0, 0.09, 0.0, 0.45, 0.09, 0.0, 0.0, 0.18, 0.09, 0.0, 0.09]]"
32," [[0.31, 0.0, 0.0, 0.0, 0.06, 0.0, 0.0, 0.0, 0.0, 0.62, 0.0, 0.0], [0.1, 0.0, 0.25, 0.0, 0.25, 0.0, 0.0, 0.0, 0.05, 0.05, 0.0, 0.3]]"
33," [[0.31, 0.0, 0.0, 0.0, 0.06, 0.0, 0.0, 0.0, 0.0, 0.62, 0.0, 0.0], [0.1, 0.0, 0.25, 0.0, 0.25, 0.0, 0.0, 0.0, 0.05, 0.05, 0.0, 0.3]]"
34," [[0.33, 0.0, 0.07, 0.0, 0.07, 0.0, 0.07, 0.0, 0.07, 0.33, 0.0, 0.07], [0.09, 0.0, 0.0, 0.0, 0.09, 0.0, 0.09, 0.09, 0.0, 0.55, 0.0, 0.09]]"
35," [[0.0, 0.09, 0.0, 0.45, 0.09, 0.0, 0.09, 0.09, 0.0, 0.09, 0.0, 0.09], [0.09, 0.0, 0.0, 0.18, 0.09, 0.0, 0.45, 0.0, 0.0, 0.09, 0.0, 0.09]]"
36," [[0.0, 0.0, 0.09, 0.0, 0.18, 0.0, 0.09, 0.45, 0.0, 0.09, 0.0, 0.09], [0.45, 0.0, 0.09, 0.0, 0.09, 0.0, 0.0, 0.09, 0.0, 0.18, 0.0, 0.09]]"
37," [[0.09, 0.0, 0.18, 0.0, 0.09, 0.0, 0.45, 0.09, 0.0, 0.09, 0.0, 0.0], [0.09, 0.0, 0.09, 0.0, 0.0, 0.0, 0.09, 0.18, 0.0, 0.09, 0.0, 0.45]]"
38," [[0.18, 0.0, 0.09, 0.0, 0.45, 0.0, 0.09, 0.09, 0.0, 0.0, 0.0, 0.09], [0.09, 0.0, 0.0, 0.0, 0.09, 0.0, 0.18, 0.09, 0.0, 0.45, 0.0, 0.09]]"
39," [[0.09, 0.0, 0.0, 0.45, 0.09, 0.0, 0.09, 0.0, 0.0, 0.09, 0.0, 0.18], [0.09, 0.0, 0.09, 0.0, 0.18, 0.0, 0.09, 0.45, 0.0, 0.0, 0.0, 0.09]]"
40," [[0.07, 0.0, 0.07, 0.0, 0.07, 0.13, 0.0, 0.07, 0.0, 0.6, 0.0, 0.0], [0.03, 0.0, 0.28, 0.0, 0.03, 0.28, 0.0, 0.28, 0.0, 0.03, 0.0, 0.06]]"
41," [[0.62, 0.0, 0.0, 0.0, 0.12, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0], [0.12, 0.0, 0.0, 0.0, 0.38, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0]]"
42," [[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.5], [0.12, 0.0, 0.12, 0.0, 0.0, 0.25, 0.0, 0.25, 0.0, 0.0, 0.0, 0.25], [0.5, 0.0, 0.0, 0.0, 0.17, 0.0, 0.0, 0.33, 0.0, 0.0, 0.0, 0.0]]"
43," [[0.12, 0.0, 0.0, 0.0, 0.0, 0.12, 0.0, 0.0, 0.0, 0.75, 0.0, 0.0], [0.38, 0.0, 0.0, 0.0, 0.12, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0]]"
44," [[0.0, 0.0, 0.11, 0.0, 0.06, 0.22, 0.0, 0.5, 0.0, 0.0, 0.0, 0.11], [0.17, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.33, 0.0, 0.0, 0.0, 0.0]]"
45," [[0.08, 0.0, 0.08, 0.0, 0.08, 0.42, 0.0, 0.08, 0.0, 0.17, 0.0, 0.08], [0.31, 0.0, 0.06, 0.0, 0.06, 0.31, 0.0, 0.06, 0.0, 0.12, 0.0, 0.06]]"
46," [[0.31, 0.0, 0.06, 0.0, 0.31, 0.06, 0.0, 0.12, 0.0, 0.06, 0.0, 0.06], [0.31, 0.0, 0.06, 0.0, 0.31, 0.06, 0.0, 0.12, 0.0, 0.06, 0.0, 0.06]]"
47," [[0.31, 0.0, 0.31, 0.0, 0.06, 0.12, 0.0, 0.06, 0.0, 0.06, 0.0, 0.06], [0.06, 0.0, 0.31, 0.0, 0.06, 0.12, 0.0, 0.06, 0.0, 0.06, 0.0, 0.31]]"
48," [[0.56, 0.0, 0.06, 0.0, 0.12, 0.06, 0.0, 0.06, 0.0, 0.06, 0.0, 0.06], [0.12, 0.0, 0.12, 0.0, 0.25, 0.12, 0.0, 0.12, 0.0, 0.12, 0.0, 0.12]]"
49," [[0.17, 0.0, 0.08, 0.0, 0.42, 0.08, 0.0, 0.08, 0.0, 0.08, 0.0, 0.08], [0.12, 0.0, 0.06, 0.0, 0.31, 0.06, 0.0, 0.31, 0.0, 0.06, 0.0, 0.06]]"
50," [[0.06, 0.0, 0.31, 0.0, 0.06, 0.0, 0.06, 0.31, 0.0, 0.06, 0.0, 0.12], [0.06, 0.0, 0.31, 0.0, 0.06, 0.0, 0.06, 0.31, 0.0, 0.06, 0.0, 0.12]]"
51," [[0.31, 0.0, 0.06, 0.0, 0.06, 0.0, 0.06, 0.31, 0.0, 0.12, 0.0, 0.06], [0.31, 0.0, 0.06, 0.0, 0.06, 0.0, 0.31, 0.06, 0.0, 0.12, 0.0, 0.06]]"
52," [[0.06, 0.0, 0.06, 0.0, 0.06, 0.0, 0.06, 0.38, 0.0, 0.06, 0.0, 0.31], [0.06, 0.0, 0.06, 0.0, 0.06, 0.0, 0.06, 0.38, 0.0, 0.06, 0.0, 0.31]]"
53," [[0.38, 0.0, 0.04, 0.0, 0.38, 0.0, 0.04, 0.0, 0.04, 0.08, 0.0, 0.04], [0.12, 0.0, 0.12, 0.0, 0.12, 0.0, 0.12, 0.0, 0.12, 0.25, 0.0, 0.12]]"
54," [[0.44, 0.0, 0.19, 0.0, 0.12, 0.0, 0.12, 0.06, 0.0, 0.0, 0.0, 0.06], [0.12, 0.12, 0.12, 0.0, 0.44, 0.0, 0.0, 0.06, 0.0, 0.06, 0.0, 0.06]]"
55," [[0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.38, 0.0, 0.0, 0.12, 0.0, 0.0], [0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.38, 0.0, 0.0, 0.0, 0.38], [0.0, 0.0, 0.38, 0.0, 0.0, 0.0, 0.06, 0.19, 0.0, 0.19, 0.0, 0.19]]"
56," [[0.0, 0.0, 0.62, 0.0, 0.0, 0.0, 0.12, 0.0, 0.0, 0.25, 0.0, 0.0]]"
57," [[0.25, 0.25, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
58," [[0.0, 0.0, 0.38, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.38], [0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.19, 0.0, 0.31]]"
59," [[0.11, 0.0, 0.3, 0.0, 0.0, 0.0, 0.19, 0.17, 0.0, 0.13, 0.0, 0.11]]"
