../data/Mozart2/Mozart.mxl;data;;;
41;[1, 2, 1, 2, 2, 2, 1, 0];Fmaj;II;V7
42;[2, 0, 1, 0, 2, 0, 0, 0];;I;
43;[1, 1, 1, 1, 1, 0, 1, 0];;V34;I
44;[1, 0, 1, 1, 1, 2, 0, 0];;IV46;I
45;[1, 1, 1, 1, 2, 0, 1, 0];;V56;
46;[1, 1, 1, 2, 1, 1, 1, 0];;IV;
47;[2, 1, 2, 1, 1, 1, 1, 0];;I6;
48;[1, 2, 1, 1, 1, 1, 1, 0];;II7;V34
49;[2, 1, 1, 1, 1, 1, 1, 0];;I;
50;[1, 1, 2, 1, 1, 1, 1, 0];;I;
