input;label;predict;likelihood
[0.11, 0.0, 0.0, 0.0, 0.0, 0.11, 0.0, 0.44, 0.0, 0.11, 0.0, 0.22];V;V;0.9632982
[0.45, 0.0, 0.09, 0.0, 0.27, 0.0, 0.0, 0.09, 0.0, 0.0, 0.0, 0.09];I;I;0.9934783
[0.0, 0.0, 0.0, 0.0, 0.25, 0.25, 0.0, 0.25, 0.0, 0.25, 0.0, 0.0];V;IV;0.6109448
[0.29, 0.0, 0.17, 0.0, 0.17, 0.17, 0.0, 0.04, 0.0, 0.0, 0.0, 0.17];V;I;0.3956369
[0.0, 0.0, 0.33, 0.0, 0.11, 0.44, 0.0, 0.0, 0.0, 0.11, 0.0, 0.0];II;II;0.8066513
[0.11, 0.0, 0.0, 0.0, 0.0, 0.11, 0.0, 0.44, 0.0, 0.11, 0.0, 0.22];V;V;0.9632982
[0.53, 0.0, 0.0, 0.0, 0.31, 0.0, 0.0, 0.16, 0.0, 0.0, 0.0, 0.0];I;I;0.9893138
[0.25, 0.0, 0.0, 0.0, 0.12, 0.0, 0.0, 0.62, 0.0, 0.0, 0.0, 0.0];I;I;0.9981493
[0.33, 0.0, 0.0, 0.0, 0.17, 0.17, 0.0, 0.17, 0.0, 0.0, 0.0, 0.17];I;I;0.9885766
[0.56, 0.0, 0.0, 0.0, 0.38, 0.0, 0.0, 0.06, 0.0, 0.0, 0.0, 0.0];I;I;0.96738863
[0.25, 0.0, 0.0, 0.0, 0.12, 0.0, 0.0, 0.62, 0.0, 0.0, 0.0, 0.0];I;I;0.9977871
