bar number85,"[0, 1, 0, 0, 2, 1, 2]",,,,
bar number86,"[0, 2, 0, 0, 1, 1, 1]",,,,
bar number87,"[0, 2, 0, 0, 1, 1, 1]",,,,
bar number88,"[0, 3, 0, 0, 0, 1, 0]",,,,
bar number89,"[0, 1, 0, 0, 3, 0, 1]",,,,
bar number90,"[1, 2, 1, 0, 0, 2, 0]",,,,
bar number91,"[0, 1, 1, 0, 2, 0, 2]",,,,
bar number92,"[1, 2, 1, 0, 0, 2, 0]",,,,
bar number93,"[0, 1, 1, 0, 2, 0, 2]",,,,
bar number94,"[1, 2, 1, 0, 0, 2, 0]",,,,
bar number95,"[0, 1, 0, 1, 3, 0, 1]",V7,,,
bar number96,"[1, 0, 1, 1, 2, 0, 0]",V,,,
bar number97,"[0, 1, 0, 1, 2, 0, 2]",V7,,,
bar number98,"[1, 1, 1, 0, 2, 0, 0]",I,V,,
bar number99,"[1, 1, 0, 0, 2, 0, 1]",I,V,,
bar number100,"[1, 1, 1, 0, 0, 2, 0]",,,,
bar number101,"[0, 1, 1, 0, 2, 0, 2]",,,,
bar number102,"[2, 2, 1, 0, 0, 1, 0]",,,,
bar number103,"[1, 2, 0, 0, 1, 0, 1]",,,,
bar number104,"[2, 0, 1, 0, 0, 2, 1]",,,,
bar number105,"[0, 1, 1, 0, 2, 0, 2]",,,,
bar number106,"[2, 1, 1, 0, 0, 1, 0]",,,,
bar number107,"[1, 1, 0, 0, 3, 0, 1]",,,,
bar number108,"[1, 2, 0, 0, 1, 0, 2]",,,,
bar number109,"[1, 2, 0, 0, 1, 0, 2]",,,,
bar number110,"[1, 2, 0, 0, 0, 1, 1]",,,,
bar number111,"[0, 2, 0, 0, 2, 1, 1]",,,,
bar number112,"[0, 2, 0, 0, 2, 1, 1]",,,,
bar number113,"[0, 2, 0, 0, 1, 1, 2]",,,,
bar number114,"[0, 3, 0, 0, 1, 1, 1]",,,,
bar number115,"[1, 0, 2, 0, 2, 0, 1]",,,,
bar number116,"[1, 2, 0, 0, 0, 1, 1]",,,,
bar number117,"[2, 1, 0, 0, 1, 0, 2]",,,,
bar number118,"[0, 3, 0, 0, 1, 1, 1]",,,,
bar number119,"[1, 3, 0, 0, 0, 2, 0]",,,,
bar number120,"[0, 1, 1, 0, 3, 0, 1]",,,,
bar number121,"[1, 1, 0, 0, 3, 0, 1]",,,,
bar number122,"[1, 1, 1, 0, 3, 0, 0]",,,,
bar number123,"[0, 1, 0, 0, 3, 1, 1]",,,,
bar number124,"[1, 3, 0, 0, 0, 2, 0]",,,,
bar number125,"[0, 2, 0, 0, 2, 0, 2]",,,,
bar number126,"[2, 2, 1, 0, 0, 1, 0]",,,,
bar number127,"[2, 0, 1, 0, 2, 0, 1]",,,,
bar number128,"[1, 3, 0, 0, 0, 1, 1]",,,,
bar number129,"[0, 3, 0, 0, 1, 1, 1]",,,,
